station,dttm,tz,dttm_in,dttm_out,date,time_in,utc_in,zd,time_out,lon,lat,temp,sal,fluor,moon_phase,moon_mode,cloud_cover,wind,current,heading,tow_dist,biomass,biodens,phyl_num,phyl_vol,lept_num,lept_vol,myct_num,myct_vol,ceph_num,ceph_vol,nekt_other_num,nekt_other_vol,nekt_total_num,nekt_total_vol,nekt_info,halo_num,gelat_num,gelat_vol,gelat_info,sarg_ni_piece_tot,sarg_ni_mass_tot,sarg_ni_piece_clump,sarg_ni_mass_clump,sarg_ni_piece_frag,sarg_ni_mass_frag,sarg_nii_piece_tot,sarg_nii_mass_tot,sarg_nii_piece_clump,sarg_nii_mass_clump,sarg_nii_piece_frag,sarg_nii_mass_frag,sarg_nviii_piece_tot,sarg_nviii_mass_tot,sarg_nviii_piece_clump,sarg_nviii_mass_clump,sarg_nviii_piece_frag,sarg_nviii_mass_frag,sarg_fiii_piece_tot,sarg_fiii_mass_tot,sarg_fiii_piece_clump,sarg_fiii_mass_clump,sarg_fiii_piece_frag,sarg_fiii_mass_frag,sarg_other_piece_tot,sarg_other_mass_tot,sarg_other_piece_clump,sarg_other_mass_clump,sarg_other_piece_frag,sarg_other_mass_frag,sarg_mass_tot,sarg_piece_tot,plas_pieces,plas_pellets,plas_density,tar,tow_desc,no3,po4,echo
S285-001-NT,NA,NA,2019-04-01T23:35:00.000Z,2019-04-01T00:05:00.000Z,2019-04-01,23:35:00,NA,-13,00:05:00,173.55333333333334,-43.56166666666667,16.2,34.61,24.47,13,set,0,"22, 140",0.272/205,238,2210.28,34,0.015382666449499609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11.3,1 large jelly (9ml) 1 Vellela Vellela (.2ml) 3 Salps (2.1ml),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,"There was a lot of 1-2cm Nekton organisms, small orange shrimp, brown plant, algal matter, and some bioluminecsing organisms plus copepods",0.3598765864611366,0.3196294362283436,-79.88742827005292
S285-002-NT,NA,NA,2019-04-02T12:13:00.000Z,2019-04-02T12:44:00.000Z,2019-04-02,12:13:00,NA,-13,12:44:00,174.615,-43.513333333333335,15.33,34.57,42.31,8,risen,65,"14, 184",0.116/75,309,2210,36,0.016289592760180997,0,0,0,0,0,0,0,0,1,0.5,1,0.5,1 small fish (.5ml),0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,"Very little biomass, mostly copepods",0,0.2508187090878576,-89.10958032628871
S285-003-NT,NA,NA,2019-04-02T23:34:00.000Z,2019-04-02T00:05:00.000Z,2019-04-02,23:34:00,NA,-13,00:05:00,175.79666666666665,-43.58166666666666,15.7,34.66,18.02,8,set,65,"12, 192",0.268/150,105,911.4,51,0.05595786701777485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.5,1 Salp Colony (2.5ml),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,0,"There were many salps in the sample, only one colony was found. The salps accounted for most of the biomass ad the rest appeared to be small crustaceans (i.e mycids)",0.798448811248945,0.3589498517371928,-65.65199187093171
S285-005-NT,NA,NA,2019-04-03T12:14:00.000Z,2019-04-03T12:44:00.000Z,2019-04-03,12:14:00,NA,-13,12:44:00,176.945,-43.611666666666665,15.9,34.64,42.53,3,risen,50,"16, 163",0.242/82,233.14,849.2,159,0.1872350447479981,0,0,0,0,3,0.2,0,0,0,0,3,0.2,3 myctophids (.2ml),0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,"Tow contained a few myctophids, mostly clear salps, and brown green plant/algae/phytoplankton material. Also many vellela vellelas (1 ml). Also one particularly large shrimp.",2.4833908201559525,0.11319725480688558,-81.53506063116869
S285-006-NT,NA,NA,2019-04-04T00:01:00.000Z,2019-04-04T00:31:00.000Z,2019-04-04,00:01:00,NA,-13,00:31:00,177.835,-43.69,15.5,34.48,12.3,3,set,100,"9, 133",0.207/121,104,2418.39,719,0.2973052319931856,0,0,0,0,0,0,0,0,20,10,20,10,20 fish (10ml),0,5,330,5 salps (360ml),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,"Full of salps with some fish, some very large salps",2.107,0.4277605788776787,-73.47989215202685
S285-007-NT,NA,NA,2019-04-04T11:45:00.000Z,2019-04-04T12:15:00.000Z,2019-04-04,11:45:00,NA,-13,12:15:00,179.21833333333333,-43.92,15.6,34.47,15.22,1,risen,97,"6.5, 154",0.244/114,234,1589.63,190,0.1195246692626586,0,0,0,0,0,0,0,0,5,2,5,2,"5 fish larvae (silver with blue), backs (2 mL)",0,8,9.5,"1 Portguese Man O'War (6 mL), 1 Vellela vellela (0.5 mL), 6 siphonophores (9 mL)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,"This net tow had a large volume of gelatinous organisms, mostly salps, which were clear and blue.",0.07499206437674831,0.3884401633688295,-87.3051975481325
S285-008-NT,NA,NA,2019-04-04T23:37:00.000Z,2019-04-04T00:07:00.000Z,2019-04-04,23:37:00,NA,-13,00:07:00,-179.12666666666667,-44.18666666666667,16.24,34.5,11.49,1,set,75,"2.6, 57",0.23599999999999999,98,1889.16,123,0.06510830210252175,0,0,0,0,197,390,0,0,1,0.2,198,390.2,"197 myctopids (390 mL), 1 bug (0.2 mL)",0,5,350,5 salps (350 mL),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,"Tow dominated by myctophids, some very large salps, a fish louse, a few small pieces of kelp, and large volume of semi-degraded plant material",1.8086643204824009,0.37861005949161725,-82.44551334022069
S285-009-NT,NA,NA,2019-04-05T11:11:00.000Z,2019-04-05T11:41:00.000Z,2019-04-05,11:11:00,NA,-13,11:41:00,-177.57166666666666,-44.10666666666667,17.6,34.9,9.31,0,risen,88,"3, 225",0.073/37,246,2690.94,200,0.07432347060878354,0,0,0,0,0,0,0,0,2,1,2,1,2 fish ( 1 mL),0,2,2,2 salps (2 mL),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,A lot of blue small zooplankton with a lot of salps,0.21743432541894242,0.712833591316835,-81.47046311289436
S285-010-NT,NA,NA,2019-04-05T23:02:00.000Z,2019-04-05T23:33:00.000Z,2019-04-05,23:02:00,NA,-13,23:33:00,-177.355,-44.06,17.7,35.06,8.8,0,set,60,"12, 116",0.187/107,205,1889.43,83,0.04392859222093436,0,0,0,0,11,3,0,0,0,0,11,3,NA,0,5,73,"4 siphonophores (3 mL), 1 large salp (70 mL)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,"Salps, siphonophores, myctophids and a lot of other gelatinous critters",0.058123901884909505,0.23115850133343296,-78.85603162047539
S285-012-NT,NA,NA,2019-04-07T00:04:00.000Z,2019-04-07T00:34:00.000Z,2019-04-07,00:04:00,NA,-13,00:34:00,-176.375,-43.178333333333335,17.4,35.16,11.51,1,set,10,"15, 120",0.276/14,212,1172,523,0.4462457337883959,0,0,0,0,7,2.5,0,0,10,2,17,4.5,"10 silvery long thin fish (2 mL), 7 myctophids (2.5 mL)",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,Lots of salps and blue copepods,0.5266839711026535,0.10336715092967329,-84.21804823365738
