dttm,lon,lat,temp,sal,fluor,cdom,xmiss_1min,wind_sp,wind_dir,heading,pitch,roll,filename
2022-06-10T08:46:48.000Z,-70.67103666666667,41.523385,NA,NA,NA,NA,NA,12,284.03,61.07,-0.15,1.76,Event60sec_002.elg
2022-06-10T08:47:48.000Z,-70.671045,41.52339166666667,NA,NA,NA,NA,NA,10,269.04,61.08,-0.05,1.44,Event60sec_002.elg
2022-06-10T08:48:48.000Z,-70.67105166666667,41.52339333333333,NA,NA,NA,NA,NA,9.91,276.2,60.97,0.14,1.33,Event60sec_002.elg
2022-06-10T08:49:48.000Z,-70.671055,41.52339833333333,NA,NA,NA,NA,NA,11,274.05,61.05,-0.24,1.99,Event60sec_002.elg
2022-06-10T08:50:48.000Z,-70.67107833333333,41.52338,NA,NA,NA,NA,NA,11,276.87,60.87,0.12,1.76,Event60sec_002.elg
2022-06-10T08:51:48.000Z,-70.67108666666667,41.52336666666667,NA,NA,NA,NA,NA,11,269.05,61.05,0.03,1.66,Event60sec_002.elg
2022-06-10T08:52:49.000Z,-70.67106166666667,41.52338,NA,NA,NA,NA,NA,11,277.13,61.06,-0.09,1.62,Event60sec_002.elg
2022-06-10T08:53:49.000Z,-70.67106,41.523363333333336,NA,NA,NA,NA,NA,11.91,278.12,60.91,0.01,1.36,Event60sec_002.elg
2022-06-10T08:54:49.000Z,-70.67105666666667,41.523376666666664,NA,NA,NA,NA,NA,8.91,277.33,61.06,-0.08,1.73,Event60sec_002.elg
2022-06-10T08:55:49.000Z,-70.67107,41.523361666666666,NA,NA,NA,NA,NA,8,276.92,60.92,0.02,1.35,Event60sec_002.elg
2022-06-10T08:56:49.000Z,-70.67107333333334,41.523361666666666,NA,NA,NA,NA,NA,10,268.99,60.99,-0.07,1.6,Event60sec_002.elg
2022-06-10T08:57:49.000Z,-70.67108,41.523345,NA,NA,NA,NA,NA,10,271.88,60.88,0.14,1.47,Event60sec_002.elg
2022-06-10T08:58:49.000Z,-70.67106666666666,41.523331666666664,NA,NA,NA,NA,NA,9.9,265.98,60.93,-0.02,2.13,Event60sec_002.elg
2022-06-10T08:59:49.000Z,-70.67104,41.52337,NA,NA,NA,NA,NA,10,275.78,60.78,-0.17,2.62,Event60sec_002.elg
2022-06-10T09:00:49.000Z,-70.671085,41.52337333333333,NA,NA,NA,NA,NA,10.9,275.07,60.97,0.01,2.52,Event60sec_002.elg
2022-06-10T09:01:49.000Z,-70.67106833333334,41.52337333333333,NA,NA,NA,NA,NA,10,283.87,60.87,-0.08,2.47,Event60sec_002.elg
2022-06-10T09:02:49.000Z,-70.67106666666666,41.523363333333336,NA,NA,NA,NA,NA,9,279.85,60.85,0.02,2.58,Event60sec_002.elg
2022-06-10T09:03:49.000Z,-70.67105833333333,41.523363333333336,NA,NA,NA,NA,NA,9,275.94,60.94,-0.03,2.37,Event60sec_002.elg
2022-06-10T09:04:49.000Z,-70.67107166666666,41.52336,NA,NA,NA,NA,NA,10,265.98,60.98,0.02,2.09,Event60sec_002.elg
2022-06-10T09:05:49.000Z,-70.670995,41.523313333333334,NA,NA,NA,NA,NA,12,275.89,60.89,0.03,1.65,Event60sec_002.elg
2022-06-10T09:06:49.000Z,-70.671085,41.52336,NA,NA,NA,NA,NA,10.91,280.14,61,-0.05,1.89,Event60sec_002.elg
2022-06-10T09:07:49.000Z,-70.67109833333333,41.523355,NA,NA,NA,NA,NA,10,280.89,60.93,-0.04,1.41,Event60sec_002.elg
2022-06-10T09:08:49.000Z,-70.67101333333333,41.52332333333333,NA,NA,NA,NA,NA,10.9,279.08,60.89,0,1.77,Event60sec_002.elg
2022-06-10T09:09:49.000Z,-70.67105333333333,41.52338666666667,NA,NA,NA,NA,NA,10,279.99,60.99,-0.03,1.69,Event60sec_002.elg
2022-06-10T09:10:49.000Z,-70.67107333333334,41.523365,NA,NA,NA,NA,NA,9,274,61.02,0,1.79,Event60sec_002.elg
2022-06-10T09:11:49.000Z,-70.671025,41.52335166666667,NA,NA,NA,NA,NA,12,269.04,61.01,0.01,1.96,Event60sec_002.elg
2022-06-10T09:12:49.000Z,-70.67106833333334,41.52338666666667,NA,NA,NA,NA,NA,12,278.94,60.97,0.04,1.86,Event60sec_002.elg
2022-06-10T09:13:49.000Z,-70.67108166666667,41.52339833333333,NA,NA,NA,NA,NA,9.9,276.09,61.03,-0.13,1.8,Event60sec_002.elg
2022-06-10T09:14:49.000Z,-70.67109,41.52341166666667,NA,NA,NA,NA,NA,13,273.93,60.94,0.08,1.61,Event60sec_002.elg
2022-06-10T09:15:49.000Z,-70.67104666666667,41.5234,NA,NA,NA,NA,NA,11.9,269.99,60.91,-0.2,1.6,Event60sec_002.elg
2022-06-10T09:16:49.000Z,-70.67107,41.52339333333333,NA,NA,NA,NA,NA,10.9,273.08,60.95,-0,1.67,Event60sec_002.elg
2022-06-10T09:17:49.000Z,-70.67103833333333,41.523385,NA,NA,NA,NA,NA,8.9,272.15,61.09,0.12,1.36,Event60sec_002.elg
2022-06-10T09:18:49.000Z,-70.67104333333333,41.52339333333333,NA,NA,NA,NA,NA,9,271.84,60.86,-0.12,1.44,Event60sec_002.elg
2022-06-10T09:19:49.000Z,-70.67103833333333,41.52338,NA,NA,NA,NA,NA,11,266.11,61.18,0.02,1.49,Event60sec_002.elg
2022-06-10T09:20:49.000Z,-70.67103666666667,41.52338,NA,NA,NA,NA,NA,11,263.38,64.38,0,1.41,Event60sec_002.elg
2022-06-10T09:21:49.000Z,-70.67105166666667,41.52335333333333,NA,NA,NA,NA,NA,8.9,261.27,66.38,0.08,1.54,Event60sec_002.elg
2022-06-10T09:22:49.000Z,-70.671055,41.523376666666664,NA,NA,NA,NA,NA,11.9,268.21,66.11,-0.14,1.45,Event60sec_002.elg
2022-06-10T09:23:49.000Z,-70.67101666666667,41.52335,NA,NA,NA,NA,NA,8.97,275.33,54.01,-0.04,1.77,Event60sec_002.elg
2022-06-10T09:24:49.000Z,-70.67128,41.52323,NA,NA,NA,NA,NA,12.7,258.57,59.43,-0.1,1.84,Event60sec_002.elg
2022-06-10T09:25:49.000Z,-70.67185166666667,41.523025,NA,NA,NA,NA,NA,11.09,246.62,74.83,-0.14,1.53,Event60sec_002.elg
2022-06-10T09:26:49.000Z,-70.67249666666666,41.522635,NA,NA,NA,NA,NA,9.02,270.18,49.4,0.1,1.94,Event60sec_002.elg
2022-06-10T09:27:49.000Z,-70.67292166666667,41.52225166666667,NA,NA,NA,NA,NA,11.61,262.03,75.49,-0.1,1.92,Event60sec_002.elg
2022-06-10T09:28:49.000Z,-70.67333666666667,41.522315,NA,NA,NA,NA,NA,8.62,246.61,125.68,-0.05,2.11,Event60sec_002.elg
2022-06-10T09:29:49.000Z,-70.67352333333334,41.522421666666666,NA,NA,NA,NA,NA,7.82,255.08,142.06,-0.01,1.94,Event60sec_002.elg
2022-06-10T09:30:49.000Z,-70.67340333333334,41.522345,NA,NA,NA,NA,NA,8.27,271.08,162.57,-0.05,2.64,Event60sec_002.elg
2022-06-10T09:31:49.000Z,-70.67321333333334,41.52180166666667,NA,NA,NA,NA,NA,10.31,265.61,164.97,-0.03,1.88,Event60sec_002.elg
2022-06-10T09:32:49.000Z,-70.67288666666667,41.520698333333335,NA,NA,NA,NA,NA,8.06,267.63,156.26,-0.05,2.46,Event60sec_002.elg
