station,dttm,lon,lat,bottle,depth,temp,sal,density,chla,po4,pH
C303B-001,2022-06-10T11:10:00.000Z,-70.97333333333333,41.303333333333335,12,2,NA,NA,NA,1.1094781915116914,0.175,7.975352334597944
C303B-001,2022-06-10T11:10:00.000Z,-70.97333333333333,41.303333333333335,10,10,NA,NA,NA,1.503302159858948,0.132,7.920717200184557
C303B-001,2022-06-10T11:10:00.000Z,-70.97333333333333,41.303333333333335,8,20,NA,NA,NA,1.5461312812224508,0.081,7.999553661441505
C303B-001,2022-06-10T11:10:00.000Z,-70.97333333333333,41.303333333333335,5,30,NA,NA,NA,2.616859315310021,0.098,7.999195798422944
C303B-002,2022-06-10T17:11:00.000Z,-70.76,41.19833333333333,12,2.4,16.2193,31.8441,1023.2829,1.3062882015868351,0.136,8.076652757613333
C303B-002,2022-06-10T17:11:00.000Z,-70.76,41.19833333333333,10,10.3,15.5289,31.8975,1023.5124,2.0315279900088163,0.145,8.079972756502286
C303B-002,2022-06-10T17:11:00.000Z,-70.76,41.19833333333333,8,15.7,11.4265,32.293,1024.663,2.3313318395533353,0.366,7.99277365584021
C303B-002,2022-06-10T17:11:00.000Z,-70.76,41.19833333333333,5,17,11.4217,32.2916,1024.6688,2.2742263444019986,0.298,7.999890603978216
C303B-003,2022-06-10T22:32:00.000Z,-70.49666666666667,41.093333333333334,12,2.2,14.418,32.3539,1024.066,1.7888296356156335,0.077,7.96
C303B-003,2022-06-10T22:32:00.000Z,-70.49666666666667,41.093333333333334,10,10,14.1296,32.3884,1024.1876,2.27481419508738,0.187,8.142668713307401
C303B-003,2022-06-10T22:32:00.000Z,-70.49666666666667,41.093333333333334,8,19.2,11.2221,32.2227,1024.6612,3.730416470761093,0.183,8.015921128878137
C303B-003,2022-06-10T22:32:00.000Z,-70.49666666666667,41.093333333333334,6,20.7,11.1726,32.232,1024.6839,3.3164016309139,0.311,7.997578974461774
C303B-004,2022-06-11T09:27:00.000Z,-71.25166666666667,41.325,12,2,16.8521,32.0929,1023.3292,0.43332993379544,0.136,7.912009912122912
C303B-004,2022-06-11T09:27:00.000Z,-71.25166666666667,41.325,10,9.9,15.5122,32.1048,1023.6738,1.3361121331299135,0.089,7.8869688727963645
C303B-004,2022-06-11T09:27:00.000Z,-71.25166666666667,41.325,8,14.8,12.0591,32.3643,1024.5986,2.9824971265116043,0.153,7.833642698759103
C303B-004,2022-06-11T09:27:00.000Z,-71.25166666666667,41.325,6,16.5,11.5382,32.2699,1024.6287,2.959492286218043,0.285,7.910407046586098
C303B-005,2022-06-11T15:13:00.000Z,-71.03,41.40833333333333,12,2.2,15.8101,31.9896,1023.4854,2.347182275066495,0.145,7.9074172793104776
C303B-005,2022-06-11T15:13:00.000Z,-71.03,41.40833333333333,10,10.1,15.3668,32.0004,1023.6265,2.2171208492506618,0.238,7.965767985480975
C303B-005,2022-06-11T15:13:00.000Z,-71.03,41.40833333333333,8,11.5,15.3633,31.9965,1023.6301,2.3313318395533353,0.196,7.934798601353008
