station,date,time_in,time_out,zd,dttm,lon,lat,temp,sal,fluor,station_distance,bottle,chla,no3,po4,sio2,o2,ph,alk,notes,depth,conductivity,temperature,pressure,scan,fluorescence,oxygen,oxygen2,par,v0,v1,v2,v3,v4,v5,flag,salinity,theta,sigma
C308C-002,6/15/23,17:19:00,,4,2023-06-15T17:19-04:00,-70.7985,41.3849,17.32,31.84,116,,1,1.347463904,0.608695652,,,,7.549,,,21.4,40.47702578,16.25622222,21.52177778,1542,0.074616778,236.0975556,5.409155556,0.094209667,1.230566667,2.22E-05,7.78E-05,1.44E-04,2.881977778,0.074622222,0,31.74847987,16.25287879,23.19130025
C308C-002,6/15/23,17:19:00,,4,2023-06-15T17:19-04:00,-70.7985,41.3849,17.32,31.84,116,,9,1.748155682,0.347826087,,,,7.615,,,15.6,40.736276,16.4733,15.67288889,1655,0.080804889,236.4603333,5.417433333,0.861793333,1.858722222,1.11E-05,1.11E-04,7.78E-05,2.898155556,0.0808,0,31.80393102,16.47084091,23.18448649
C308C-002,6/15/23,17:19:00,,4,2023-06-15T17:19-04:00,-70.7985,41.3849,17.32,31.84,116,,10,2.30526024,0.362318841,,,,7.678,,,10.7,40.99011333,16.7076,10.78811111,1752,0.07148,236.1686667,5.4106,3.562544444,2.425388889,3.33E-05,3.33E-05,6.67E-05,2.909111111,0.071466667,0,31.83991067,16.70588957,23.15833973
C308C-002,6/15/23,17:19:00,,4,2023-06-15T17:19-04:00,-70.7985,41.3849,17.32,31.84,116,,11,1.934771987,0.47826087,,,,7.825,,,5.6,41.38652,17.1154,5.581444444,1857,0.058823444,235.2081111,5.388188889,16.77611111,3.084877778,2.22E-05,6.67E-05,3.33E-05,2.921044444,0.058811111,0,31.86082616,17.11449933,23.07972493
C308C-002,6/15/23,17:19:00,,4,2023-06-15T17:19-04:00,-70.7985,41.3849,17.32,31.84,116,,12,1.257126807,0.420289855,,,,7.929,,,2.6,41.40476389,17.14872222,2.597333333,2056,0.047599556,223.7346667,5.125277778,49.07522222,3.546911111,1.11E-05,1.11E-04,1.11E-04,2.822977778,0.047588889,0,31.85124651,17.14830256,23.06448704
C308C-003,6/16/23,10:13:00,,4,2023-06-16T10:13-04:00,-70.9802,41.2466,16.23,31.605,80,,2,1.63097162,0.405797101,,,,8.074,,,38.2,36.91144633,12.09397778,38.39333333,2238,0.043013556,217.4976667,4.9878,1.00E-12,0.171766667,2.22E-05,1.22E-04,1.44E-04,2.506455556,0.043022222,0,31.90717439,12.08913945,24.17149068
C308C-003,6/16/23,10:13:00,,4,2023-06-16T10:13-04:00,-70.9802,41.2466,16.23,31.605,80,,6,,0.637681159,,,,8.055,,,30,36.92363,12.11353333,30.14911111,2349,0.066648,217.5378889,4.988711111,1.00E-12,0.8248,8.89E-05,5.56E-05,1.22E-04,2.510566667,0.066644444,0,31.90552615,12.10973109,24.16638078
C308C-003,6/16/23,10:13:00,,4,2023-06-16T10:13-04:00,-70.9802,41.2466,16.23,31.605,80,,7,,0.637681159,,,,,,,25.1,36.97030867,12.16636667,25.19833333,2429,0.083942333,217.7648889,4.993844444,0.109129111,1.257766667,6.67E-05,7.78E-05,8.89E-05,2.515244444,0.083922222,0,31.90727688,12.16317972,24.15777351
C308C-003,6/16/23,10:13:00,,4,2023-06-16T10:13-04:00,-70.9802,41.2466,16.23,31.605,80,,8,3.800289307,0.420289855,,,,8.14,,,20.5,37.11451467,12.39703333,20.62688889,2504,0.096310111,224.6658889,5.151677778,0.518337778,1.677211111,4.22E-04,8.89E-05,3.33E-05,2.574044444,0.0963,0,31.8509145,12.39439207,24.07065721
C308C-003,6/16/23,10:13:00,,4,2023-06-16T10:13-04:00,-70.9802,41.2466,16.23,31.605,80,,9,,0.550724638,,,,,,,15.8,37.62377778,13.03885556,15.85677778,2578,0.109407,255.092,5.8484,1.666355556,2.114422222,7.78E-05,2.00E-04,7.78E-05,2.892322222,0.109422222,0,31.79391573,13.03675306,23.90318061
