dttm,lon,lat,temp,sal,fluor,cdom,xmiss,wind_sp,wind_dir,heading,pitch,roll,filename
2023-06-15T16:36:18Z,-70.67106166666667,41.52341333333333,20.7614,0.1454,90,112,NA,12.09,257.69,60.96,0.27,1.92,Event60sec_001.elg
2023-06-15T16:37:18Z,-70.67105166666667,41.52337333333333,20.7689,0.1454,69,112,NA,17,250.66,60.62,0.27,1.68,Event60sec_001.elg
2023-06-15T16:38:18Z,-70.67105666666667,41.52339,20.7758,0.1455,80,112,NA,17,246.35,60.35,0.17,2.85,Event60sec_001.elg
2023-06-15T16:39:18Z,-70.671055,41.52339833333333,20.7834,0.1455,75,114,NA,15,244.45,60.47,0.25,2.9,Event60sec_001.elg
2023-06-15T16:40:18Z,-70.67107,41.523381666666666,20.7902,0.1455,70,112,NA,12,241.35,60.35,0.19,2.8,Event60sec_001.elg
2023-06-15T16:41:18Z,-70.671065,41.523375,20.7985,0.1455,79,112,NA,14,242.54,60.53,0.37,3.12,Event60sec_001.elg
2023-06-15T16:42:19Z,-70.671055,41.523375,20.8065,0.1455,76,114,NA,16,246.64,60.6,0.35,3.18,Event60sec_001.elg
2023-06-15T16:43:19Z,-70.671045,41.523375,20.8142,0.1456,65,114,NA,13.1,271.81,60.85,0.43,3.24,Event60sec_001.elg
2023-06-15T16:44:19Z,-70.671065,41.523381666666666,20.8234,0.1456,67,114,NA,18,257.41,60.39,0.15,3.12,Event60sec_001.elg
2023-06-15T16:45:19Z,-70.67106,41.523365,20.8316,0.1456,78,111,NA,16,243.3,60.3,0.43,3.16,Event60sec_001.elg
2023-06-15T16:46:19Z,-70.67106,41.52335333333333,20.841,0.1456,76,111,NA,16.07,243.62,60.38,0.25,3.04,Event60sec_001.elg
2023-06-15T16:47:19Z,-70.67106666666666,41.523355,20.8482,0.1456,83,114,NA,15,241.29,60.34,0.19,3.09,Event60sec_001.elg
2023-06-15T16:48:19Z,-70.671065,41.52336,20.8572,0.1457,88,111,NA,12.06,248.73,60.33,0.18,3.18,Event60sec_001.elg
